measurements_unit,measurements_value,measurements_sourcename,measurements_lastupdated,measurements_parameter,country_name_en
µg/m³,16.0,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
µg/m³,42.0,AirNow,2023-05-30T18:00:00-05:00,PM10,United States
µg/m³,3.0,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
ppm,0.031,AirNow,2023-05-30T18:00:00-05:00,O3,United States
µg/m³,4.0,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
µg/m³,11.3,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
ppm,0.056,AirNow,2023-05-30T18:00:00-05:00,O3,United States
µg/m³,3.0,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
ppm,0.0009,AirNow,2023-05-30T18:00:00-05:00,NOX,United States
ppm,0.1,AirNow,2023-05-30T18:00:00-05:00,CO,United States
µg/m³,17.0,AirNow,2023-05-30T18:00:00-05:00,PM10,United States
µg/m³,15.0,AirNow,2023-05-30T18:00:00-05:00,PM10,United States
ppm,0.042,AirNow,2023-05-30T18:00:00-05:00,O3,United States
µg/m³,1.0,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
µg/m³,2.7,AirNow,2023-05-30T18:00:00-05:00,PM2.5,United States
ppm,0.0024,AirNow,2023-05-30T18:00:00-05:00,NOX,United States
µg/m³,12.0,AirNow,2023-05-30T18:00:00-05:00,PM10,United States
ppm,0.0016,AirNow,2023-05-30T18:00:00-05:00,NOX,United States
