disaster_name,disaster_type,start_date,end_date,adjusted_cost,unadjusted_cost,deaths,date category
Central Severe Weather,Severe Storm,2019-05-16,2019-05-18,1187,973,0,May 2019
"Rockies, Central and Northeast Tornadoes and Severe Weather",Severe Storm,2019-05-26,2019-05-29,5609,4598,3,May 2019
Arkansas River Flooding,Flooding,2019-05-20,2019-06-14,3690,3025,5,June 2019
Colorado Hail Storms,Severe Storm,2019-07-04,2019-07-05,1229,1008,0,July 2019
"Mississippi River, Midwest and Southern Flooding",Flooding,2019-03-15,2019-07-31,7588,6169,4,July 2019
Hurricane Dorian,Tropical Cyclone,2019-08-28,2019-09-06,1964,1610,10,September 2019
Tropical Storm Imelda,Tropical Cyclone,2019-09-17,2019-09-21,6100,5000,5,September 2019
Texas Tornadoes and Central Severe Weather,Severe Storm,2019-10-20,2019-10-20,2078,1718,2,October 2019
California and Alaska Wildfires,Wildfire,2019-06-01,2019-11-30,5490,4500,3,Summer-Fall 2019
Southeast Tornadoes and Northern Storms and Flooding,Severe Storm,2020-01-10,2020-01-12,1390,1149,10,January 2020
"South, East and Northeast Severe Weather",Severe Storm,2020-02-05,2020-02-07,1520,1256,3,February 2020
Tennessee Tornadoes and Southeast Severe Weather,Severe Storm,2020-03-02,2020-03-04,2826,2336,25,March 2020
Midwest and Ohio Valley Severe Weather,Severe Storm,2020-03-27,2020-03-28,3095,2558,0,March 2020
North Central and Ohio Valley Hail Storms and Severe Weather,Severe Storm,2020-04-07,2020-04-08,3514,2881,0,April 2020
Southeast and Eastern Tornado Outbreak,Severe Storm,2020-04-12,2020-04-13,4201,3444,35,April 2020
Southern Severe Weather,Severe Storm,2020-04-21,2020-04-23,1647,1350,3,April 2020
"Central, Southern and Eastern Severe Weather",Severe Storm,2020-04-27,2020-04-30,1252,1027,1,April 2020
Central and Eastern Severe Weather,Severe Storm,2020-05-03,2020-05-05,2577,2113,2,May 2020
"South, Central and Eastern Severe Weather",Severe Storm,2020-05-20,2020-05-23,1932,1584,2,May 2020
South Texas Hail Storms,Severe Storm,2020-05-27,2020-05-27,1708,1400,0,May 2020
Central Severe Weather,Severe Storm,2020-07-10,2020-07-11,1447,1196,0,July 2020
Hurricane Hanna,Tropical Cyclone,2020-07-25,2020-07-26,1290,1075,0,July 2020
Hurricane Isaias,Tropical Cyclone,2020-08-03,2020-08-04,5708,4757,16,August 2020
Central Severe Weather - Derecho,Severe Storm,2020-08-10,2020-08-10,13342,11027,4,August 2020
Hurricane Laura,Tropical Cyclone,2020-08-27,2020-08-28,27858,23215,42,August 2020
Hurricane Sally,Tropical Cyclone,2020-09-15,2020-09-17,8728,7274,5,September 2020
Hurricane Delta,Tropical Cyclone,2020-10-09,2020-10-11,3440,2867,5,October 2020
Hurricane Zeta,Tropical Cyclone,2020-10-28,2020-10-29,5222,4352,6,October 2020
Tropical Storm Eta,Tropical Cyclone,2020-11-08,2020-11-12,1752,1460,12,November 2020
"Western Wildfires - California, Oregon, Washington Firestorms",Wildfire,2020-08-01,2020-12-30,19740,16450,46,Fall 2020
Western/Central Drought and Heat Wave,Drought,2020-06-01,2020-12-30,5394,4495,45,Summer-Fall 2020
California Flooding and Severe Weather,Flooding,2021-01-24,2021-01-29,1303,1095,2,January 2021
"Northwest, Central, Eastern Winter Storm and Cold Wave",Winter Storm,2021-02-10,2021-02-19,26996,22686,262,February 2021
Southeast Tornadoes and Severe Weather,Severe Storm,2021-03-24,2021-03-25,1978,1677,6,March 2021
Eastern Severe Weather,Severe Storm,2021-03-27,2021-03-28,1588,1346,8,March 2021
Texas Hail Storms,Severe Storm,2021-04-12,2021-04-15,1740,1475,0,April 2021
Texas and Oklahoma Severe Weather,Severe Storm,2021-04-27,2021-04-28,3715,3149,0,April 2021
Southern Tornadoes and Southeast Severe Weather,Severe Storm,2021-05-02,2021-05-04,1466,1264,4,May 2021
Louisiana Flooding,Flooding,2021-05-17,2021-05-18,1556,1319,5,May 2021
Ohio Valley Hail Storms,Severe Storm,2021-06-17,2021-06-18,1963,1707,0,June 2021
Central Severe Storms,Severe Storm,2021-06-24,2021-06-26,1441,1253,0,June 2021
Tropical Storm Elsa,Tropical Cyclone,2021-07-07,2021-07-09,1382,1213,1,July 2021
Central Severe Storms,Severe Storm,2021-07-08,2021-07-11,1231,1080,0,July 2021
North Central Severe Weather,Severe Storm,2021-08-10,2021-08-13,1463,1284,2,August 2021
Tropical Storm Fred,Tropical Cyclone,2021-08-16,2021-08-18,1455,1277,7,August 2021
Hurricane Ida,Tropical Cyclone,2021-08-29,2021-09-01,83872,73572,96,August 2021
Hurricane Nicholas,Tropical Cyclone,2021-09-14,2021-09-18,1158,1016,0,September 2021
"Southeast, Central Tornado Outbreak",Severe Storm,2021-12-10,2021-12-10,4384,3915,93,December 2021
Midwest Derecho and Tornado Outbreak,Severe Storm,2021-12-15,2021-12-15,1995,1782,1,December 2021
Western Wildfires,Wildfire,2021-06-01,2021-12-31,11960,10400,8,2021
Western Drought and Heat Wave,Drought,2021-01-01,2021-12-31,10032,8431,229,2021
Texas Hail Storms,Severe Storm,2022-02-21,2022-02-22,1108,1008,0,February 2022
Southern Tornado Outbreak,Severe Storm,2022-03-30,2022-03-30,1369,1256,2,March 2022
Southeast Tornado Outbreak,Severe Storm,2022-04-04,2022-04-06,1530,1417,3,April 2022
Southern Severe Weather,Severe Storm,2022-04-11,2022-04-13,2889,2675,1,April 2022
Southern and Central Severe Weather,Severe Storm,2022-05-01,2022-05-03,1218,1139,1,May 2022
North Central Hail Storms,Severe Storm,2022-05-09,2022-05-09,2332,2160,0,May 2022
North Central Severe Weather,Severe Storm,2022-05-11,2022-05-12,2922,2706,1,May 2022
North Central Hail Storms,Severe Storm,2022-05-19,2022-05-19,2601,2431,0,May 2022
Central Severe Weather,Severe Storm,2022-06-07,2022-06-08,2006,1911,0,June 2022
Central Derecho,Severe Storm,2022-06-13,2022-06-13,3355,3195,1,June 2022
North Central and Eastern Severe Weather,Severe Storm,2022-07-22,2022-07-24,1407,1340,1,July 2022
Kentucky and Missouri Flooding,Flooding,2022-07-26,2022-07-28,1538,1465,42,July 2022
Hurricane Fiona,Tropical Cyclone,2022-09-17,2022-09-18,2635,2510,25,September 2022
Hurricane Ian,Tropical Cyclone,2022-09-28,2022-09-30,117390,111800,152,September 2022
Hurricane Nicole,Tropical Cyclone,2022-11-10,2022-11-11,1071,1020,5,November 2022
Western Wildfires,Wildfire,2022-04-01,2022-11-30,3265,3110,17,Spring-Fall 2022
Central and Eastern Winter Storm and Cold Wave,Winter Storm,2022-12-21,2022-12-26,8868,8445,87,December 2022
Western/Central Drought and Heat Wave,Drought,2022-01-01,2022-12-31,23271,20965,136,2022
Northeastern Winter Storm/Cold Wave,Winter Storm,2023-02-02,2023-02-05,1821,1751,1,February 2023
Southern and Eastern Severe Weather,Severe Storm,2023-03-02,2023-03-03,6052,5876,13,March 2023
California Flooding,Flooding,2022-12-26,2023-03-19,4680,4500,22,December 2022 - March 2023
Southern and Eastern Severe Weather,Severe Storm,2023-03-24,2023-03-26,2927,2815,23,April 2023
Central Tornado Outbreak and Eastern Severe Weather,Severe Storm,2023-03-31,2023-04-01,5797,5628,33,March 2023
Central and Eastern Severe Weather,Severe Storm,2023-04-04,2023-04-06,2927,2815,5,April 2023
Fort Lauderdale Flash Flood,Flooding,2023-04-12,2023-04-13,1133,1100,0,April 2023
Central and Southern Severe Weather,Severe Storm,2023-04-15,2023-04-15,1375,1335,0,April 2023
Central Severe Weather,Severe Storm,2023-04-19,2023-04-20,3049,2960,1,April 2023
Southern Severe Weather,Severe Storm,2023-04-25,2023-04-27,1359,1320,0,April 2023
Central Severe Weather,Severe Storm,2023-05-06,2023-05-08,2201,2137,1,May 2023
Central and Eastern Tornadoes and Hail Storms,Severe Storm,2023-05-10,2023-05-12,3529,3426,1,May 2023
Texas Hail Storms,Severe Storm,2023-05-18,2023-05-19,1673,1625,0,May 2023
Typhoon Mawar,Tropical Cyclone,2023-05-24,2023-05-25,4377,4250,2,May 2023
Southern Severe Weather,Severe Storm,2023-06-11,2023-06-14,4153,4032,0,June 2023
Central and Southern Severe Weather,Severe Storm,2023-06-15,2023-06-18,3881,3768,5,June 2023
Rockies Hail Storms and Central and Eastern Severe Weather,Severe Storm,2023-06-21,2023-06-26,5401,5244,8,June 2023
Central Severe Weather,Severe Storm,2023-06-28,2023-07-02,1957,1919,3,June 2023
Northeastern Flooding and North Central Severe Weather,Flooding,2023-07-09,2023-07-15,2208,2165,10,July 2023
North Central and Southeastern Severe Weather,Severe Storm,2023-07-19,2023-07-21,1868,1832,1,July 2023
North Central and Eastern Severe Weather,Severe Storm,2023-07-28,2023-07-29,1511,1482,2,July 2023
Northeastern and Eastern Severe Weather,Severe Storm,2023-08-05,2023-08-08,1663,1631,4,August 2023
Hawaii Firestorm,Wildfire,2023-08-08,2023-08-08,5610,5500,100,August 2023
Minnesota Hail Storms,Severe Storm,2023-08-11,2023-08-11,1810,1775,0,August 2023
Hurricane Idalia,Tropical Cyclone,2023-08-29,2023-08-31,3525,3456,5,August 2023
Southern Hail Storms,Severe Storm,2023-09-23,2023-09-24,1677,1645,0,September 2023
Southern/Midwestern Drought and Heatwave,Drought,2023-04-01,2023-09-30,14645,14082,247,Spring-Fall 2023
East Coast Storm and Flooding,Flooding,2023-12-16,2023-12-18,1301,1276,5,December 2023
Southern Tornado Outbreak and East Coast Storm,Severe Storm,2024-01-08,2024-01-10,2700,2674,3,January 2024
Northwest Winter Storm,Winter Storm,2024-01-12,2024-01-15,1142,1131,20,January 2024
Central and Southern Winter Storm and Cold Wave,Winter Storm,2024-01-14,2024-01-18,1345,1332,41,January 2024
Southern Severe Weather,Severe Storm,2024-02-10,2024-02-12,1150,1139,0,February 2024
Central and Southern Severe Weather,Severe Storm,2024-03-13,2024-03-15,4354,4311,3,March 2024
Central Tornado Outbreak and Eastern Severe Weather,Severe Storm,2024-04-01,2024-04-03,1823,1823,3,April 2024
Southern and Eastern Severe Weather,Severe Storm,2024-04-08,2024-04-11,1510,1510,0,April 2024
