disaster_name,disaster_type,start_date,end_date,adjusted_cost,unadjusted_cost,deaths,date category
West Coast Flooding,Flooding,1997-01-01,1997-01-11,5913,3017,36,December 1996-January 1997
Mississippi and Ohio Valley Severe Weather and Flooding,Severe Storm,1997-02-28,1997-03-05,1916,977,67,March 1997
Northern Plains Flooding,Flooding,1997-02-03,1997-05-24,7206,3676,11,Spring 1997
Northeast Ice Storm,Winter Storm,1998-01-05,1998-01-09,2705,1401,16,January 1998
Western/Eastern Severe Weather and Flooding,Severe Storm,1997-12-01,1998-02-28,1948,1004,132,Winter-Spring 1998
Minnesota Severe Storms/Hail,Severe Storm,1998-05-15,1998-05-15,3132,1631,1,May 1998
"Northern Plains and Great Lakes Derecho, Tornadoes",Severe Storm,1998-05-30,1998-06-02,2185,1138,20,June 1998
Central and Eastern Severe Storms and Flooding,Severe Storm,1998-06-20,1998-06-24,1716,894,12,June 1998
Tropical Storm Frances,Tropical Cyclone,1998-08-08,1998-08-13,1337,700,2,September 1998
Hurricane Bonnie,Tropical Cyclone,1998-08-27,1998-08-29,1871,980,3,August 1998
Southern Drought and Heat Wave,Drought,1998-06-01,1998-08-31,6809,3528,200,Summer 1998
Hurricane Georges,Tropical Cyclone,1998-09-20,1998-09-29,11430,5984,16,September 1998
Texas Flooding,Flooding,1998-10-16,1998-10-24,1790,942,31,October 1998
California Freeze,Freeze,1998-12-20,1998-12-28,4825,2500,0,December 1998
Central and Eastern Winter Storm,Winter Storm,1999-01-01,1999-01-04,1962,1032,25,January 1999
Central and Eastern Winter Storm,Winter Storm,1999-01-13,1999-01-16,1676,882,0,Mid-January 1999
Oklahoma and Kansas Tornadoes,Severe Storm,1999-05-03,1999-05-06,3782,2012,55,May 1999
Eastern Drought/Heat Wave,Drought,1999-06-01,1999-08-31,4747,2498,502,Summer 1999
Hurricane Floyd,Tropical Cyclone,1999-09-14,1999-09-16,12073,6491,77,September 1999
Southeast Winter Storm,Winter Storm,2000-01-21,2000-01-24,1306,706,4,January 2000
Southern Severe Weather,Severe Storm,2000-03-28,2000-03-29,1255,690,0,March 2000
Western Fire Season,Wildfire,2000-03-01,2000-08-31,1956,1075,0,Spring-Summer 2000
South Florida Flooding,Flooding,2000-10-03,2000-10-04,1620,900,3,October 2000
Western/Central/Southeast Drought/Heat Wave,Drought,2000-03-01,2000-11-30,9244,4997,140,Spring-Fall 2000
Midwest/Ohio Valley Hail and Tornadoes,Severe Storm,2001-04-06,2001-04-11,5477,3094,3,April 2001
North Central Severe Weather,Severe Storm,2001-04-30,2001-05-01,1187,671,0,May 2001
Tropical Storm Allison,Tropical Cyclone,2001-06-05,2001-06-17,14913,8522,43,June 2001
Severe Storms and Tornadoes,Severe Storm,2002-04-27,2002-04-28,3643,2093,7,April 2002
Hurricane Lili,Tropical Cyclone,2002-08-01,2002-08-05,1910,1104,2,October 2002
Tropical Storm Isidore,Tropical Cyclone,2002-09-25,2002-09-27,1989,1150,5,September 2002
Eastern Tornadoes and Severe Storms,Severe Storm,2002-11-09,2002-11-11,1238,720,28,November 2002
U.S. Drought,Drought,2002-03-01,2002-11-30,15851,9006,0,Spring-Fall 2002
Western Fire Season,Wildfire,2002-09-01,2002-11-30,2288,1322,21,Fall 2002
Severe Storms/Hail,Severe Storm,2003-04-04,2003-04-07,3410,2006,3,April 2003
Severe Storms/Tornadoes,Severe Storm,2003-05-03,2003-05-10,7018,4128,51,May 2003
Midwest/Plains Severe Weather,Severe Storm,2003-07-04,2003-07-09,1458,858,7,July 2003
Southern Derecho and Eastern Severe Weather,Severe Storm,2003-07-21,2003-07-23,1713,1008,7,July 2003
Hurricane Isabel,Tropical Cyclone,2003-09-18,2003-09-19,9268,5484,55,September 2003
Western/Central Drought/Heat Wave,Drought,2003-03-01,2003-11-30,8630,5017,35,Spring-Fall 2003
California Wildfires,Wildfire,2003-09-01,2003-11-30,6574,3890,22,Fall 2003
"Severe Storms, Hail, Tornadoes",Severe Storm,2004-05-21,2004-05-27,1673,1013,4,May 2004
Colorado Hail Storms,Severe Storm,2004-06-08,2004-06-09,1146,695,0,June 2004
Hurricane Charley,Tropical Cyclone,2004-08-13,2004-08-14,26399,15999,35,August 2004
Hurricane Frances,Tropical Cyclone,2004-09-03,2004-09-09,16072,9800,48,September 2004
Hurricane Ivan,Tropical Cyclone,2004-09-12,2004-09-21,33620,20500,57,September 2004
Hurricane Jeanne,Tropical Cyclone,2004-09-15,2004-09-29,12294,7496,28,September 2004
Southeast Severe Weather,Severe Storm,2005-03-24,2005-03-27,1401,865,0,March 2005
Hurricane Dennis,Tropical Cyclone,2005-07-09,2005-07-11,3992,2495,15,July 2005
Hurricane Katrina,Tropical Cyclone,2005-08-25,2005-08-30,198796,125029,1833,August 2005
Midwest Drought,Drought,2005-03-01,2005-08-31,2418,1474,0,Spring-Summer 2005
Hurricane Rita,Tropical Cyclone,2005-09-20,2005-09-24,29045,18500,119,September 2005
Hurricane Wilma,Tropical Cyclone,2005-10-24,2005-10-24,29830,19000,35,October 2005
Severe Storms and Tornadoes,Severe Storm,2006-03-08,2006-03-13,2086,1337,10,March 2006
Midwest/Southeast Tornadoes,Severe Storm,2006-04-06,2006-04-08,2486,1603,10,"April 6-8, 2006"
Midwest Tornadoes,Severe Storm,2006-04-13,2006-04-16,3756,2423,27,April 2006
Northeast Flooding,Flooding,2006-06-25,2006-06-28,2343,1521,20,June 2006
North Central Severe Weather and Tornadoes,Severe Storm,2006-08-23,2006-08-24,1161,759,1,August 2006
Midwest/Plains/Southeast Drought,Drought,2006-03-01,2006-08-31,9476,5997,0,Spring-Summer 2006
Central Severe Weather,Severe Storm,2006-10-02,2006-10-05,1362,879,1,October 2006
Numerous Wildfires,Wildfire,2006-01-01,2006-12-31,2318,1467,28,2006
California Freeze,Freeze,2007-01-11,2007-01-17,2156,1400,1,January 2007
Spring Freeze,Freeze,2007-04-04,2007-04-10,3147,2044,0,April 2007
East/South Severe Weather and Flooding,Severe Storm,2007-04-13,2007-04-17,3786,2507,9,April 2007
Western Wildfires,Wildfire,2007-06-01,2007-08-31,4112,2741,12,Summer 2007
Western/Eastern Drought/Heat Wave,Drought,2007-06-01,2007-11-30,5449,3538,15,Summer-Fall 2007
"Western, Central and Northeast Severe Weather",Severe Storm,2008-01-04,2008-01-09,1453,982,12,January 2008
Southeast Tornadoes and Severe Weather,Severe Storm,2008-02-05,2008-02-06,1793,1211,57,February 2008
Southeast Tornadoes,Severe Storm,2008-03-14,2008-03-15,1651,1131,5,March 2008
Southern Severe Weather,Severe Storm,2008-04-09,2008-04-11,1507,1039,2,April 2008
Midwest Tornadoes and Severe Weather,Severe Storm,2008-05-22,2008-05-27,4362,3029,13,May 2008
Midwest/Mid-Atlantic Severe Weather,Severe Storm,2008-06-06,2008-06-12,2339,1635,18,June 2008
Midwest Flooding,Flooding,2008-04-01,2008-06-30,14738,9958,24,Summer 2008
Hurricane Dolly,Tropical Cyclone,2008-07-23,2008-07-25,1799,1267,3,July 2008
Hurricane Gustav,Tropical Cyclone,2008-08-31,2008-09-03,8575,5997,53,September 2008
Hurricane Ike,Tropical Cyclone,2008-09-12,2008-09-14,42898,29998,112,September 2008
