,name,disaster,begDate,endDate,adjCost,unadjCost,deaths
301,Hurricane Isaias (August 2020),Tropical Cyclone,20200803,20200804,5708.4,4757.0,16
302,Central Severe Weather - Derecho (August 2020),Severe Storm,20200810,20200810,13342.7,11027.0,4
303,Hurricane Laura (August 2020),Tropical Cyclone,20200827,20200828,27858.0,23215.0,42
304,Hurricane Sally (September 2020),Tropical Cyclone,20200915,20200917,8728.8,7274.0,5
305,Hurricane Delta (October 2020),Tropical Cyclone,20201009,20201011,3440.4,2867.0,5
306,Hurricane Zeta (October 2020),Tropical Cyclone,20201028,20201029,5222.4,4352.0,6
307,Tropical Storm Eta (November 2020),Tropical Cyclone,20201108,20201112,1752.0,1460.0,12
308,"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,20200801,20201230,19740.0,16450.0,46
309,Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,20200601,20201230,5394.0,4495.0,45
310,California Flooding and Severe Weather (January 2021),Flooding,20210124,20210129,1303.1,1095.0,2
311,"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,20210210,20210219,26996.7,22686.0,262
312,Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,20210324,20210325,1978.9,1677.0,6
313,Eastern Severe Weather (March 2021),Severe Storm,20210327,20210328,1588.3,1346.0,8
314,Texas Hail Storms (April 2021),Severe Storm,20210412,20210415,1740.5,1475.0,0
315,Texas and Oklahoma Severe Weather (April 2021),Severe Storm,20210427,20210428,3715.8,3149.0,0
316,Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,20210502,20210504,1466.2,1264.0,4
317,Louisiana Flooding (May 2021),Flooding,20210517,20210518,1556.4,1319.0,5
318,Ohio Valley Hail Storms (June 2021),Severe Storm,20210617,20210618,1963.3,1707.0,0
319,Central Severe Storms (June 2021),Severe Storm,20210624,20210626,1441.2,1253.0,0
320,Tropical Storm Elsa (July 2021),Tropical Cyclone,20210707,20210709,1382.8,1213.0,1
321,Central Severe Storms (July 2021),Severe Storm,20210708,20210711,1231.2,1080.0,0
322,North Central Severe Weather (August 2021),Severe Storm,20210810,20210813,1463.7,1284.0,2
323,Tropical Storm Fred (August 2021),Tropical Cyclone,20210816,20210818,1455.8,1277.0,7
324,Hurricane Ida (August 2021),Tropical Cyclone,20210829,20210901,83872.1,73572.0,96
325,Hurricane Nicholas (September 2021),Tropical Cyclone,20210914,20210918,1158.2,1016.0,0
326,"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,20211210,20211210,4384.8,3915.0,93
327,Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,20211215,20211215,1995.8,1782.0,1
328,Western Wildfires (2021),Wildfire,20210601,20211231,11960.1,10400.0,8
329,Western Drought and Heat Wave (2021),Drought,20210101,20211231,10032.9,8431.0,229
330,Texas Hail Storms (February 2022),Severe Storm,20220221,20220222,1108.8,1008.0,0
331,Southern Tornado Outbreak (March 2022),Severe Storm,20220330,20220330,1369.4,1256.0,2
332,Southeast Tornado Outbreak (April 2022),Severe Storm,20220404,20220406,1530.2,1417.0,3
