,name,disaster,begDate,endDate,adjCost,unadjCost,deaths
134,Western Wildfires (Summer 2007),Wildfire,20070601,20070831,4112.1,2741.3,12
135,Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,20070601,20071130,5449.2,3538.3,15
136,"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1453.4,982.0,12
137,Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,20080205,20080206,1793.2,1211.6,57
138,Southeast Tornadoes (March 2008),Severe Storm,20080314,20080315,1651.3,1131.0,5
139,Southern Severe Weather (April 2008),Severe Storm,20080409,20080411,1507.5,1039.6,2
140,Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,20080522,20080527,4362.5,3029.5,13
141,Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,20080606,20080612,2339.4,1635.9,18
142,Midwest Flooding (Summer 2008),Flooding,20080401,20080630,14738.5,9958.4,24
143,Hurricane Dolly (July 2008),Tropical Cyclone,20080723,20080725,1799.5,1267.3,3
144,Hurricane Gustav (September 2008),Tropical Cyclone,20080831,20080903,8575.7,5997.0,53
145,Hurricane Ike (September 2008),Tropical Cyclone,20080912,20080914,42898.3,29998.8,112
146,U.S. Wildfires (Fall 2008),Wildfire,20080901,20081130,1764.6,1234.0,16
147,U.S. Drought (2008),Drought,20080101,20081231,10374.4,7009.8,0
148,Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,20090210,20090211,2558.1,1740.2,10
149,Midwest/Southeast Tornadoes (March 2009),Severe Storm,20090325,20090328,2411.6,1640.5,0
150,South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,20090409,20090410,2087.9,1430.1,6
151,Central Derecho and Tornadoes (May 2009),Severe Storm,20090507,20090509,1257.1,861.0,7
152,"Midwest, South and East Severe Weather (June 2009)",Severe Storm,20090609,20090612,1926.0,1328.1,0
153,Colorado Hail Storm (July 2009),Severe Storm,20090720,20090720,1450.0,1000.0,0
154,Georgia Flooding (September 2009),Flooding,20090919,20090922,1302.8,898.5,10
155,Western Wildfires (Summer-Fall 2009),Wildfire,20090601,20091130,1467.3,1011.9,10
156,Southwest/Great Plains Drought (2009),Drought,20090101,20091231,5168.1,3492.0,0
157,Northeast Winter Storm (February 2010),Winter Storm,20100209,20100211,1176.5,817.0,3
158,Northeast Flooding (March 2010),Flooding,20100301,20100331,2655.7,1844.2,11
159,East/South Flooding and Severe Weather (May 2010),Flooding,20100430,20100502,3263.5,2266.3,32
160,"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,20100510,20100512,4767.4,3333.8,3
161,Rockies/Central/East Severe Weather (June 2010),Severe Storm,20100610,20100615,1288.5,901.0,2
162,Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,20100720,20100723,1356.0,948.3,0
163,Arizona Severe Weather (October 2010),Severe Storm,20101005,20101006,5434.0,3800.0,0
164,Groundhog Day Blizzard (February 2011),Winter Storm,20110201,20110203,2547.7,1794.2,36
165,Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,20110404,20110405,3857.6,2775.2,9
166,Southeast/Midwest Tornadoes (April 2011),Severe Storm,20110408,20110411,3029.2,2179.3,0
167,Midwest/Southeast Tornadoes (April 2011),Severe Storm,20110414,20110416,2862.2,2059.2,38
168,Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,20110419,20110420,1442.2,1037.5,0
169,Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,20110425,20110428,14208.5,10222.0,321
170,Midwest/Southeast Tornadoes (May 2011),Severe Storm,20110522,20110527,12553.8,9096.8,177
171,Mississippi River flooding (April-May 2011),Flooding,20110401,20110531,4240.1,2986.0,7
172,Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,20110618,20110622,2121.6,1537.3,3
173,Missouri River flooding (May-June 2011),Flooding,20110501,20110630,2843.4,2002.3,5
174,"North Central Severe Weather (July 1, 2011)",Severe Storm,20110701,20110701,1225.5,888.0,0
175,"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,20110710,20110711,1704.4,1235.0,2
176,"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,20110817,20110818,1589.0,1151.4,0
177,Hurricane Irene (August 2011),Tropical Cyclone,20110826,20110828,18621.8,13494.0,45
178,Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,20110301,20110831,16989.7,11964.8,95
179,Tropical Storm Lee (September 2011),Tropical Cyclone,20110901,20110905,3467.3,2512.5,21
180,Northeastern Winter Storm (October 2011),Winter Storm,20111029,20111030,1276.5,925.0,1
181,"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,20110601,20111130,2512.7,1820.8,5
182,Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,20120302,20120303,4255.1,3128.8,42
183,Texas Tornadoes (April 2012),Severe Storm,20120402,20120403,1380.7,1015.3,0
184,Midwest Tornadoes (April 2012),Severe Storm,20120413,20120414,1528.1,1123.6,6
185,Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,20120428,20120501,4455.8,3276.3,1
186,Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,20120525,20120530,3133.0,2303.7,1
187,Rockies/Southwest Severe Weather (June 2012),Severe Storm,20120606,20120612,3533.0,2597.8,0
188,Plains/East/Northeast Derecho (June-July 2012),Severe Storm,20120629,20120702,3928.2,2888.4,28
189,Hurricane Isaac (August 2012),Tropical Cyclone,20120826,20120831,3758.4,2763.5,9
190,Hurricane Sandy (October 2012),Tropical Cyclone,20121030,20121031,87803.7,65039.6,159
191,Western Wildfires (Summer-Fall 2012),Wildfire,20120601,20121130,2364.3,1738.5,8
192,U.S. Drought/Heat Wave (2012),Drought,20120101,20121231,41404.9,30003.6,123
193,Southern Severe Weather (February 2013),Severe Storm,20130224,20130225,1244.8,922.0,1
194,Southeast Severe Weather (March 2013),Severe Storm,20130318,20130318,2706.9,2020.0,1
195,Midwest/Plains Severe Weather (April 2013),Severe Storm,20130407,20130411,1935.0,1444.0,1
196,Illinois Flooding and Severe Weather (April 2013),Flooding,20130416,20130419,1443.2,1077.0,4
197,Midwest/Plains/East Tornadoes (May 2013),Severe Storm,20130518,20130522,3216.4,2400.3,27
198,Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,20130527,20130531,2430.2,1813.5,10
199,Midwest Severe Weather (August 2013),Severe Storm,20130806,20130807,1396.2,1041.9,0
200,Colorado Flooding (September 2013),Flooding,20130910,20130916,2021.4,1508.5,9
201,Ohio Valley Tornadoes (November 2013),Severe Storm,20131117,20131117,1461.4,1090.6,8
202,Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,20130301,20131130,14179.3,10425.9,53
203,Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,20140105,20140108,2911.5,2172.7,16
204,Plains Severe Weather (April 2014),Severe Storm,20140402,20140403,1879.7,1424.0,0
205,Central Severe Weather (April 2014),Severe Storm,20140412,20140413,1211.7,918.0,0
206,Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,20140427,20140501,2291.6,1736.1,33
207,Center Severe Weather (May 2014),Severe Storm,20140510,20140514,1117.6,853.0,0
208,Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,20140518,20140523,4864.3,3713.2,0
209,Rockies/Central Plains Severe Weather (June 2014),Severe Storm,20140603,20140605,2514.0,1919.2,2
210,Michigan and Northeast Flooding (August 2014),Flooding,20140811,20140813,1351.5,1031.7,2
211,Rockies/Plains Severe Weather (September 2014),Severe Storm,20140929,20141002,1834.6,1400.4,0
212,Western Drought (2014),Drought,20140101,20141231,5295.5,3951.7,0
213,"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,20150214,20150220,3939.8,2962.1,30
214,Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,20150407,20150409,2053.2,1555.6,2
215,South/Southeast Severe Weather (April 2015),Severe Storm,20150418,20150420,1694.8,1283.9,0
216,South and Southeast Severe Weather (April 2015),Severe Storm,20150424,20150425,1246.1,944.0,3
217,Southern Plains Tornadoes (May 2015),Severe Storm,20150506,20150510,1666.6,1272.1,4
218,Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,20150523,20150526,3350.7,2500.4,31
219,Central and Northeast Severe Weather (June 2015),Severe Storm,20150621,20150625,1535.3,1172.0,1
220,South Carolina and East Coast Flooding (October 2015),Flooding,20151001,20151005,2617.7,1998.2,25
221,Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,20150601,20151130,3966.7,3028.0,12
222,Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,20151226,20151229,2589.7,1961.9,50
223,Western Drought (2015),Drought,20150101,20151231,5984.4,4466.0,0
224,Southeast and Eastern Tornadoes (February 2016),Severe Storm,20160222,20160224,1372.8,1040.0,10
225,Texas and Louisiana Flooding (March 2016),Flooding,20160308,20160312,3029.1,2294.8,5
226,Southern Severe Weather (March 2016),Severe Storm,20160317,20160318,1585.5,1210.3,1
227,North Texas Hail Storm (March 2016),Severe Storm,20160323,20160324,2704.9,2064.8,0
228,North/Central Texas Hail Storm (April 2016),Severe Storm,20160410,20160412,4583.2,3498.6,0
229,Houston Flooding (April 2016),Flooding,20160417,20160418,3532.3,2676.0,8
230,South/Southeast Tornadoes (April 2016),Severe Storm,20160426,20160502,3136.7,2394.5,6
231,Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,20160508,20160511,2235.5,1719.6,2
232,Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,20160521,20160526,1490.1,1146.3,0
233,West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,20160622,20160624,1278.8,968.8,23
234,Rockies and Northeast Severe Weather (July 2016),Severe Storm,20160728,20160730,1905.3,1465.6,0
235,Louisiana Flooding (August 2016),Flooding,20160812,20160815,13200.0,10000.0,13
236,Hurricane Matthew (October 2016),Tropical Cyclone,20161008,20161012,12900.0,10000.0,49
237,Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,20160601,20161231,3113.5,2395.0,21
