,measurements_unit,measurements_value,measurements_sourcename,measurements_lastupdated,measurements_parameter,country_name_en
80,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
81,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
82,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
83,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
84,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
85,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
86,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
87,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
88,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
89,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
90,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
91,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
92,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
93,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
94,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
95,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
96,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
97,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
98,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
99,ppm,0.001,AirNow,2023-05-30T18:00:00-05:00,NO2,United States
